,Team,Opponent Team,Date,Site,Incident,Time,VAR used,Season,Type
113,Manchester City,Burnley,June 22,H,Penalty given (scored by Riyad Mahrez) for a foul by Ben Mee on Sergio Aguero,45th minute,FOR,2019-2020,PENALTY
114,Manchester City,Chelsea,June 25,A,"Fernandinho sent off for deliberate handball on the goalline, penalty scored by Willian",77th minute,AGAINST,2019-2020,PENALTY
115,Manchester City,Liverpool,July 2,H,City goal for Riyad Mahrez ruled out for handball by Phil Foden in the build-up,90th minute,AGAINST,2019-2020,HANDBALL
116,Manchester City,Man City,July 15,A,"Man City penalty, for a foul on Gabriel Jesus by Steve Cook, overturned",71st minute,AGAINST,2019-2020,PENALTY
117,Manchester City,Norwich,July 26,H,Goal for Onel Hernandez ruled out for offside,7th minute,FOR,2019-2020,OFFSIDE
118,Arsenal,Man United,Sept. 30,A,"Pierre-Emerick Aubameyang goal, originally ruled out for offside, overturned on review",58th minute,FOR,2019-2020,OFFSIDE
119,Arsenal,Crystal Palace,Oct. 27,H,Penalty awarded for foul by Calum Chambers on Wilfried Zaha (initially booked for diving),32nd minute,AGAINST,2019-2020,PENALTY
120,Arsenal,Crystal Palace,Oct. 27,H,Sokratis goal disallowed for foul by Calum Chambers,83rd minute,AGAINST,2019-2020,FOUL
121,Arsenal,Norwich,Dec. 1,A,Pierre-Emerick Aubameyang missed penalty retaken (and scored) following encroachment by a defender,29th minute,FOR,2019-2020,PENALTY
122,Arsenal,Brighto,Dec. 5,H,David Luiz goal disallowed for offside,63rd minute,AGAINST,2019-2020,OFFSIDE
123,Arsenal,Crystal Palace,Jan. 11,A,Pierre-Emerick Aubameyang sent off for foul on Max Meyer,65th minute,AGAINST,2019-2020,SENT OFF
124,Arsenal,West Ham,March 7,H,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,78th minute,FOR,2019-2020,OFFSIDE
125,Arsenal,Leicester,July 7,H,Edward Nketiah sent off for foul on James Justin,75th minute,AGAINST,2019-2020,SENT OFF
126,Arsenal,Watford,July 26,H,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,2nd minute,FOR,2019-2020,PENALTY
127,Everton,Brighton & Hove Albion,Oct. 26,A,Penalty awarded (scored by Neal Maupay) for foul on Aaron Connolly by Michael Keane,78th minute,AGAINST,2019-2020,PENALTY
128,Everton,Leicester,Dec. 1,A,Penalty for foul on Ben Chilwell by Mason Holgate cancelled,34th minute,FOR,2019-2020,PENALTY
129,Everton,Leicester,Dec. 1,A,"Kelechi Iheanacho effort, originally ruled offside, given as a goal",94th minute,AGAINST,2019-2020,OFFSIDE
130,Everton,Man City,Jan. 1,A,Goal for Phil Foden ruled out for offside in build-up by Joao Cancelo,12th minute,FOR,2019-2020,OFFSIDE
131,Everton,Brighton,Jan. 11,H,Goal for Dominic Calvert-Lewin ruled out for handball,75th minute,AGAINST,2019-2020,HANDBALL
132,Everton,Man United,March 1,H,Goal for Everton disallowed for offside against Gylfi Sigurdsson in front of David De Gea,92nd minute,AGAINST,2019-2020,OFFSIDE
133,Everton,Leicester,July 1,H,Penalty awarded (scored by Gylfi Sigurdsson) for handball against Wilfred Ndidi,13th minute,FOR,2019-2020,PENALTY
134,AFC Bournemouth,Southampton,Sept. 20,A,"Josh King scored for the Cherries, but he was offside",25th minute,AGAINST,2019-2020,OFFSIDE
135,AFC Bournemouth,West Ham,Sept. 28,H,"Josh King goal, originally ruled out for offside, cleared by the VAR",17th minute,FOR,2019-2020,OFFSIDE
136,AFC Bournemouth,Chelsea,Dec. 14,A,"Dan Gosling goal, originally disallowed for offside, given by the VAR",84th minute,FOR,2019-2020,OFFSIDE
137,AFC Bournemouth,Brighton,Dec. 28,A,Dan Burn goal ruled out for offside,58th minute,FOR,2019-2020,OFFSIDE
138,AFC Bournemouth,West Ham,Jan. 1,A,Aaron Cresswell red card downgraded to yellow,76th minute,AGAINST,2019-2020,CARD
139,AFC Bournemouth,Norwich,Jan. 18,A,Red card for Ben Godfrey for foul on Callum Wilson,76th minute,FOR,2019-2020,FOUL
140,AFC Bournemouth,Burnley,Feb. 22,A,Goal for Josh King ruled out for handball in build-up by Philip Billing,22nd minute,AGAINST,2019-2020,HANDBALL
141,AFC Bournemouth,Burnley,Feb. 22,A,"Goal for Harry Wilson ruled out for handball by Bournemouth's Adam Smith, penalty awarded and scored by Jay Rodriguez",57th minute,AGAINST,2019-2020,PENALTY
142,AFC Bournemouth,Tottenham,July 9,H,Goal for Callum Wilson ruled out for handball by Josh King,90th minute,AGAINST,2019-2020,HANDBALL
143,AFC Bournemouth,Man City,July 15,A,"Man City penalty, for a foul on Gabriel Jesus by Steve Cook, overturned",71st minute,FOR,2019-2020,PENALTY
144,AFC Bournemouth,Southampton,July 19,H,Penalty awarded (missed by Danny Ings) for handball by Harry Wilson,57th minute,AGAINST,2019-2020,PENALTY
145,AFC Bournemouth,Southampton,July 19,H,"Sam Surridge goal disallowed, Callum Wilson offside",94th minute,AGAINST,2019-2020,OFFSIDE
146,Chelsea,Norwich,Aug. 24,A,Chelsea goal for Kurt Zouma disallowed for a foul on the goalkeeper by Olivier Giroud,77th minute,AGAINST,2019-2020,FOUL
147,Chelsea,Liverpool,Sept. 22,H,Goal ruled out after Mason Mount was offside in the build-up to Cesar Azpilicueta's goal,27th minute,AGAINST,2019-2020,OFFSIDE
148,Chelsea,Burnley,Oct. 26,A,Penalty overturned for diving by Callum Hudson-Odoi,76th minute,AGAINST,2019-2020,PENALTY
149,Chelsea,Watford,Nov. 2,A,Penalty (scored by Deulofeu) awarded for foul by Jorginho for trip on Gerard Deulofeu,77th minute,AGAINST,2019-2020,PENALTY
150,Chelsea,West Ham,Nov. 30,H,Goal for Michail Antonio ruled out for handball,67th minute,FOR,2019-2020,HANDBALL
151,Chelsea,Bournemouth,Dec. 14,H,"Dan Gosling goal, originally disallowed for offside, given by the VAR",84th minute,AGAINST,2019-2020,OFFSIDE
152,Chelsea,Tottenham,Dec. 22,A,Penalty (scored by Willian) awarded for foul by Paulo Gazzaniga on Marcos Alonso,45th minute,FOR,2019-2020,PENALTY
153,Chelsea,Tottenham,Dec. 22,A,Son Heung-Min sent off for foul on Antonio Rudiger,62nd minute,FOR,2019-2020,SENT OFF
154,Chelsea,Manchester United,Feb. 17,H,Kurt Zouma goal disallowed for foul on Brandon Williams by Cesar Azpilicueta,55th minute,AGAINST,2019-2020,FOUL
155,Chelsea,Manchester United,Feb. 17,H,Olivier Giroud goal disallowed for offside,77th minute,AGAINST,2019-2020,OFFSIDE
156,Chelsea,Manchester City,June 25,H,"Fernandinho sent off for deliberate handball on the goalline, penalty scored by Willian",77th minute,FOR,2019-2020,PENALTY
157,Chelsea,West Ham,July 1,A,Tomas Soucek goal disallowed for offside against Michail Antonio,34th minute,FOR,2019-2020,OFFSIDE
158,Watford,Chelsea,Nov. 2,H,Penalty (scored by Deulofeu) awarded for trip on Gerard Deulofeu by Jorginho,77th minute,FOR,2019-2020,PENALTY
159,Watford,Burnley,Nov. 23,H,Penalty (scored by Barnes) awarded for foul on Ashley Barnes by Jose Holebas,80th minute,AGAINST,2019-2020,PENALTY
160,Watford,Liverpool,Dec. 14,A,Sadio Mane goal ruled out for offside,51st minute,FOR,2019-2020,OFFSIDE
161,Watford,Wolves,Jan. 1,H,Christian Kabasele sent off for professional foul after originally being booked,68th minute,AGAINST,2019-2020,SENT OFF
162,Watford,Man United,Feb. 23,A,Goal for Troy Deeney disallowed for handball by Craig Dawson,52nd minute,AGAINST,2019-2020,HANDBALL
163,Watford,Arsenal,July 26,A,Penalty (scored by Pierre-Emerick Aubameyang) awarded for foul by Craig Dawson on Alexandre Lacazette,2nd minute,AGAINST,2019-2020,PENALTY
164,Aston Villa,Burnley,Sept. 28,H,"Goal for John McGinn ruled out on review, Conor Hourihane offside in build-up",25th minute,AGAINST,2019-2020,OFFSIDE
165,Aston Villa,Brighton,Oct. 19,H,Conor Hourihane goal ruled out for a foul by Wesley on Mat Ryan,42nd minute,AGAINST,2019-2020,FOUL
166,Aston Villa,Sheffield United,Dec. 14,A,Penalty awarded (missed by Jack Grealish) for handball by John Egan,76th minute,FOR,2019-2020,PENALTY
167,Aston Villa,Burnley,Jan. 1,A,"Goal for Villa's Jack Grealish ruled out on review, Wesley offside in build-up",11th minute,AGAINST,2019-2020,OFFSIDE
168,Aston Villa,Tottenham,Feb. 16,H,Penalty (missed by Son Heung-Min but scored on the rebound) awarded for foul by Bjorn Engels on Steven Bergwijn,45th minute,AGAINST,2019-2020,PENALTY
169,Aston Villa,Crystal Palace,July 12,H,Mamadou Sakho goal ruled out for handball,7th minute,FOR,2019-2020,HANDBALL
170,Aston Villa,Crystal Palace,July 12,H,"Penalty cancelled, awarded for foul on Jack Grealish by Patrick van Aanholt",47th minute,AGAINST,2019-2020,PENALTY
171,West Ham,Man City,Aug. 10,H,City goal for Gabriel Jesus ruled out for an offside against Raheem Sterling earlier in the move,53rd minute,FOR,2019-2020,OFFSIDE
172,West Ham,Man City,Aug. 10,H,Missed City penalty retaken due to encroachment by Declan Rice. Retake scored by Sergio Aguero,86th minute,AGAINST,2019-2020,PENALTY
173,West Ham,Brighton,Aug. 17,A,"Brighton goal for Leandro Trossard ruled out for offside by Dan Burn, who created the goal",27th minute,FOR,2019-2020,OFFSIDE
174,West Ham,AFC Bournemouth,Sept. 28,A,"Josh King goal, originally ruled out for offside, cleared by the VAR",17th minute,AGAINST,2019-2020,OFFSIDE
175,West Ham,Crystal Palace,Oct. 5,H,Jordan Ayew goal awarded after originally being ruled out for offside,87th minute,AGAINST,2019-2020,OFFSIDE
176,West Ham,Burnley,Nov. 9,A,Chris Wood goal disallowed for offside,36th minute,FOR,2019-2020,OFFSIDE
177,West Ham,Tottenham,Nov. 23,H,Declan Rice goal disallowed for offside,89th minute,AGAINST,2019-2020,OFFSIDE
178,West Ham,Chelsea,Nov. 30,A,Goal for Michail Antonio ruled out for handball,67th minute,AGAINST,2019-2020,HANDBALL
179,West Ham,Southampton,Dec. 14,A,Goal for Michail Antonio ruled out for handball,52nd minute,AGAINST,2019-2020,HANDBALL
180,West Ham,Bournemouth,Jan. 1,H,Aaron Cresswell red card downgraded to yellow,76th minute,FOR,2019-2020,CARD
181,West Ham,Sheffield United,Jan. 10,A,Goal for Robert Snodgrass ruled out for handball in the build-up by Declan Rice,90th minute,AGAINST,2019-2020,HANDBALL
182,West Ham,Brighton & Hove Albion,Feb. 1,H,Goal for Glenn Murray allowed after incorrect handball,79th minute,AGAINST,2019-2020,HANDBALL
183,West Ham,Arsenal,March 7,A,Alexandre Lacazette goal allowed after incorrect offside against Mesut Ozil,78th minute,AGAINST,2019-2020,OFFSIDE
184,West Ham,Tottenham,June 23,A,Son Heung-Min goal disallowed for offside,45th minute,FOR,2019-2020,OFFSIDE
185,West Ham,Chelsea,July 1,H,Tomas Soucek goal disallowed for offside against Michail Antonio,34th minute,AGAINST,2019-2020,OFFSIDE
